X,Y,Z
1,1,1.000000
25,1,1.494100
49,1,1.000000
73,1,1.247100
97,1,1.741200
121,1,1.494100
145,1,2.482400
169,1,2.235300
193,1,1.000000
217,1,1.000000
240,1,1.988200
1,16,1.000000
25,16,18.294000
49,16,8.411800
73,16,20.765000
97,16,8.411800
121,16,25.953000
145,16,21.753000
169,16,24.965000
193,16,9.894100
217,16,11.624000
240,16,1.247100
1,31,1.000000
25,31,5.447100
49,31,7.423500
73,31,9.400000
97,31,15.824000
121,31,34.847000
145,31,17.059000
169,31,27.435000
193,31,3.717600
217,31,15.082000
240,31,1.247100
1,46,1.247100
25,46,7.917600
49,46,19.282000
73,46,9.894100
97,46,10.141000
121,46,12.365000
145,46,15.824000
169,46,8.658800
193,46,34.353000
217,46,13.600000
240,46,1.000000
1,61,1.494100
25,61,25.706000
49,61,6.188200
73,61,8.164700
97,61,1.741200
121,61,13.847000
145,61,40.776000
169,61,10.388000
193,61,12.859000
217,61,48.188000
240,61,3.964700
1,76,1.000000
25,76,16.318000
49,76,47.447000
73,76,52.882000
97,76,47.941000
121,76,52.141000
145,76,20.765000
169,76,40.282000
193,76,11.129000
217,76,41.024000
240,76,2.976500
1,91,1.988200
25,91,54.612000
49,91,52.635000
73,91,52.882000
97,91,53.624000
121,91,50.659000
145,91,54.365000
169,91,14.835000
193,91,44.976000
217,91,50.659000
240,91,2.976500
1,106,2.976500
25,106,51.153000
49,106,58.071000
73,106,59.059000
97,106,53.624000
121,106,58.071000
145,106,50.412000
169,106,50.906000
193,106,46.706000
217,106,35.341000
240,106,1.247100
1,121,2.482400
25,121,56.341000
49,121,56.094000
73,121,59.306000
97,121,52.882000
121,121,55.847000
145,121,57.082000
169,121,58.318000
193,121,54.612000
217,121,56.341000
240,121,2.729400
1,136,1.988200
25,136,51.647000
49,136,53.624000
73,136,55.353000
97,136,55.353000
121,136,57.576000
145,136,55.106000
169,136,59.059000
193,136,40.776000
217,136,35.835000
240,136,2.235300
1,151,1.247100
25,151,54.612000
49,151,49.671000
73,151,55.847000
97,151,55.847000
121,151,59.553000
145,151,36.329000
169,151,33.859000
193,151,37.812000
217,151,39.541000
240,151,3.470600
1,166,1.000000
25,166,39.294000
49,166,41.271000
73,166,37.812000
97,166,60.294000
121,166,59.306000
145,166,38.553000
169,166,35.094000
193,166,37.565000
217,166,38.306000
240,166,2.729400
1,181,1.988200
25,181,42.753000
49,181,37.071000
73,181,40.035000
97,181,60.788000
121,181,58.565000
145,181,39.294000
169,181,35.341000
193,181,29.412000
217,181,39.294000
240,181,2.235300
1,196,1.247100
25,196,39.047000
49,196,34.600000
73,196,35.588000
97,196,36.329000
121,196,57.329000
145,196,39.047000
169,196,40.035000
193,196,39.294000
217,196,39.294000
240,196,2.482400
1,211,1.494100
25,211,33.859000
49,211,35.588000
73,211,39.047000
97,211,39.788000
121,211,50.906000
145,211,35.588000
169,211,39.541000
193,211,33.612000
217,211,37.071000
240,211,3.470600
1,226,1.741200
25,226,35.094000
49,226,33.118000
73,226,38.800000
97,226,39.541000
121,226,60.294000
145,226,35.341000
169,226,38.059000
193,226,35.341000
217,226,35.094000
240,226,3.223500
1,241,1.988200
25,241,42.012000
49,241,41.518000
73,241,38.800000
97,241,59.059000
121,241,35.588000
145,241,37.071000
169,241,35.835000
193,241,38.800000
217,241,40.529000
240,241,2.976500
1,256,1.741200
25,256,41.518000
49,256,40.776000
73,256,35.094000
97,256,30.647000
121,256,37.565000
145,256,34.847000
169,256,36.824000
193,256,34.600000
217,256,32.376000
240,256,2.482400
1,271,2.235300
25,271,42.259000
49,271,37.565000
73,271,35.835000
97,271,37.071000
121,271,31.882000
145,271,33.612000
169,271,36.082000
193,271,40.035000
217,271,38.059000
240,271,3.223500
1,286,2.482400
25,286,42.259000
49,286,41.765000
73,286,32.871000
97,286,37.565000
121,286,34.600000
145,286,31.388000
169,286,36.082000
193,286,37.812000
217,286,40.282000
240,286,2.976500
1,301,1.494100
25,301,12.859000
49,301,13.106000
73,301,12.859000
97,301,12.859000
121,301,12.118000
145,301,10.635000
169,301,11.376000
193,301,12.118000
217,301,11.376000
240,301,2.976500
1,302,2.482400
25,302,3.223500
49,302,2.482400
73,302,2.482400
97,302,3.717600
121,302,3.717600
145,302,2.729400
169,302,3.470600
193,302,1.988200
217,302,1.988200
240,302,1.988200
